,seller_id,total_vendas
0,6560211a19b47992c3666cc44a7e94c0,2020
1,4a3ca9315b744ce9f8e9374361493884,1984
2,1f50f920176fa81dab994f9023523100,1932
3,cc419e0650a3c5ba77189a1882b7556a,1811
4,da8622b14eb17ae2831f4ac5b9dab84a,1568
5,955fee9216a65b617aa5c0531780ce60,1489
6,1025f0e2d44d7041d6cf58b6550e0bfa,1431
7,7c67e1448b00f6e969d365cea6b010ab,1367
8,ea8482cd71df3c1969d7b9473ff13abc,1197
9,7a67c85e85bb2ce8582c35f2203ad736,1166
10,4869f7a5dfa277a7dca6462dcf3b52b2,1148
11,3d871de0142ce09b7081e2b9d1733cb1,1136
12,8b321bb669392f5163d04c59e235e066,1014
13,cca3071e3e9bb7d12640c9fbe2301306,831
14,620c87c171fb2a6dd6e8bb4dec959fc6,790
15,a1043bafd471dff536d0c462352beb48,767
16,e9779976487b77c6d4ac45f75ec7afe9,747
17,f8db351d8c4c4c22c6835c19a46f01b0,722
18,d2374cbcbb3ca4ab1086534108cc3ab7,649
19,391fc6631aebcf3004804e51b40bcf1e,622
20,fa1c13f2614d7b5c4749cbc52fecda94,582
21,7d13fca15225358621be4086e1eb0964,574
22,d91fb3b7d041e83b64a00a3edfb37e4f,561
23,128639473a139ac0f3e5f5ade55873a5,554
24,1835b56ce799e6a4dc4eddc053f04066,554
25,46dc3b2cc0980fb8ec44634e21d2718e,535
26,1900267e848ceeba8fa32d80c1a5f5a8,524
27,53e4c6e0f4312d4d2107a8c9cddf45cd,523
28,85d9eb9ddc5d00ca9336a2219c97bb13,522
29,4e922959ae960d389249c378d1c939f5,449
30,8581055ce74af1daba164fdbd55a40de,442
31,897060da8b9a21f655304d50fd935913,430
32,2138ccb85b11a4ec1e37afbd1c8eda1f,429
33,8160255418d5aaa7dbdc9f4c64ebda44,429
34,dbc22125167c298ef99da25668e1011f,429
35,218d46b86c1881d022bce9c68a7d4b15,427
36,9f505651f4a6abe901a56cdc21508025,427
37,53243585a1d6dc2643021fd1853d8905,408
38,16090f2ca825584b5a147ab24aa30c86,407
39,06a2c3af7b3aee5d69171b0e14f0ee87,399
40,4d6d651bd7684af3fffabd5f08d12e5a,396
41,77530e9772f57a62c906e1c21538ab82,390
42,de722cd6dad950a92b7d4f82673f8833,377
43,c826c40d7b19f62a09e2d7c5e7295ee2,371
44,92eb0f42c21942b6552362b9b114707d,362
45,7299e27ed73d2ad986de7f7c77d919fa,361
46,b2ba3715d723d245138f291a6fe42594,360
47,4c2b230173bb36f9b240f2b8ac11786e,343
48,5dceca129747e92ff8ef7a997dc4f8ca,342
49,7ddcbb64b5bc1ef36ca8c151f6ec77df,341
50,87142160b41353c4e5fca2360caf6f92,341
51,fa40cc5b934574b62717c68f3d678b6d,339
52,7e93a43ef30c4f03f38b393420bc753a,339
53,ef506c96320abeedfb894c34db06f478,337
54,c70c1b0d8ca86052f45a432a38b73958,335
55,7142540dd4c91e2237acb7e911c4eba2,332
56,1da3aeb70d7989d1e6d9b0e887f97c23,328
57,70a12e78e608ac31179aea7f8422044b,326
58,634964b17796e64304cadf1ad3050fb7,325
59,855668e0971d4dfd7bef1b6a4133b41b,324
