,seller_id,product_category_name,vendas_total,entrega_antecipacao,score
0,0015a82c2db000af6aaaf3ae2ecb0532,eletroportateis,3,12.0,5.0
1,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,27,10.0,4.0
2,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,209,13.0,5.0
3,001e6ad469a905060d959994f1b41e4f,esporte_lazer,1,0.0,1.0
4,002100f778ceb8431b7a1020ff7ab48f,moveis_decoracao,56,8.0,5.0
5,004c9cd9d87a3c30c522c48c4fc07416,cama_mesa_banho,161,12.0,5.0
6,00720abe85ba0859807595bbf045a33b,utilidades_domesticas,26,10.0,4.0
7,00ab3eff1b5192e5f1a63bcecfee11c8,beleza_saude,1,9.0,5.0
8,00d8b143d12632bad99c0ad66ad52825,fashion_bolsas_e_acessorios,1,21.0,5.0
9,00ee68308b45bc5e2660cd833c3f81cc,cama_mesa_banho,150,11.0,5.0
10,00ee68308b45bc5e2660cd833c3f81cc,moveis_colchao_e_estofado,22,9.5,5.0
11,00fc707aaaad2d31347cf883cd2dfe10,informatica_acessorios,141,16.0,4.0
12,010543a62bd80aa422851e79a3bc7540,informatica_acessorios,2,7.5,4.5
13,010da0602d7774602cd1b3f5fb7b709e,moveis_cozinha_area_de_servico_jantar_e_jardim,5,9.0,1.0
14,011b0eaba87386a2ae96a7d32bb531d1,beleza_saude,2,29.0,4.0
15,01266d4c46afa519678d16a8b683d325,construcao_ferramentas_ferramentas,3,8.0,5.0
16,013900e863eace745d3ec7614cab5b1a,bebes,10,16.0,5.0
17,013900e863eace745d3ec7614cab5b1a,fashion_calcados,15,16.0,5.0
18,013900e863eace745d3ec7614cab5b1a,papelaria,1,4.0,5.0
19,014c0679dd340a0e338872e7ec85666a,ferramentas_jardim,1,8.0,5.0
20,014c0679dd340a0e338872e7ec85666a,moveis_cozinha_area_de_servico_jantar_e_jardim,10,5.5,4.5
21,014c0679dd340a0e338872e7ec85666a,sinalizacao_e_seguranca,4,13.5,2.5
22,014d9a685fd57276679edd00e07089e5,cool_stuff,3,21.0,1.0
23,014d9a685fd57276679edd00e07089e5,papelaria,9,8.0,5.0
24,0176f73cc1195f367f7b32db1e5b3aa8,cama_mesa_banho,39,11.0,5.0
25,01bcc9d254a0143f0ce9791b960b2a47,beleza_saude,10,22.0,4.5
26,01c97ebb5cdac52891c0ed1c37ba0012,informatica_acessorios,12,7.0,4.5
27,01cf7e3d21494c41fb86034f2e714fa1,bebes,3,17.0,5.0
28,01cf7e3d21494c41fb86034f2e714fa1,cama_mesa_banho,1,10.0,1.0
29,01cf7e3d21494c41fb86034f2e714fa1,climatizacao,20,14.0,5.0
30,01cf7e3d21494c41fb86034f2e714fa1,cool_stuff,6,18.0,5.0
31,01cf7e3d21494c41fb86034f2e714fa1,eletrodomesticos,1,11.0,5.0
32,01cf7e3d21494c41fb86034f2e714fa1,eletrodomesticos_2,12,13.5,4.0
33,01cf7e3d21494c41fb86034f2e714fa1,eletroportateis,2,25.0,5.0
34,01cf7e3d21494c41fb86034f2e714fa1,utilidades_domesticas,19,14.0,4.0
35,01ed254b9ff8407dfb9d99ba1e17d923,relogios_presentes,5,15.0,5.0
36,01fd077212124329bac32490e8ef80d9,bebes,2,9.0,4.5
37,01fd077212124329bac32490e8ef80d9,beleza_saude,14,10.0,5.0
38,01fd077212124329bac32490e8ef80d9,brinquedos,9,10.0,5.0
39,01fd077212124329bac32490e8ef80d9,casa_construcao,1,7.0,1.0
40,01fd077212124329bac32490e8ef80d9,construcao_ferramentas_construcao,6,5.0,5.0
41,01fd077212124329bac32490e8ef80d9,esporte_lazer,2,15.5,5.0
42,01fd077212124329bac32490e8ef80d9,ferramentas_jardim,5,12.0,4.0
43,01fdefa7697d26ad920e9e0346d4bd1b,beleza_saude,130,14.0,5.0
44,0241d4d5d36f10f80c644447315af0bd,moveis_decoracao,248,12.0,5.0
45,0249d282d911d23cb8b869ab49c99f53,esporte_lazer,11,7.0,5.0
46,024b564ae893ce8e9bfa02c10a401ece,instrumentos_musicais,2,29.0,4.0
47,024b564ae893ce8e9bfa02c10a401ece,market_place,6,43.0,5.0
48,02a2272692e13558373c66db98f05e2e,telefonia,2,0.0,3.0
49,02b72cdeb9cfcc429f1af6f4e3f3b737,bebes,4,7.5,5.0
50,02c988090b766852e088c69d7fb3b551,fashion_calcados,4,9.0,5.0
51,02c988090b766852e088c69d7fb3b551,sinalizacao_e_seguranca,12,9.0,5.0
52,02d35243ea2e497335cd0f076b45675d,moveis_decoracao,16,7.5,3.0
53,02dcd3e8e25bee036e32512bcf175493,papelaria,19,0.0,5.0
54,02ecc2a19303f05e59ce133fd923fff7,casa_construcao,9,10.0,5.0
55,02ecc2a19303f05e59ce133fd923fff7,ferramentas_jardim,9,17.0,5.0
56,02ecc2a19303f05e59ce133fd923fff7,moveis_decoracao,6,12.0,5.0
57,02f5837340d7eb4f653d676c7256523a,malas_acessorios,30,19.0,5.0
58,02f623a8eb246f3c5f7c2f96462654e6,beleza_saude,3,12.0,4.0
59,02f623a8eb246f3c5f7c2f96462654e6,esporte_lazer,40,10.0,5.0
60,0307f7565ff85b299b6e5ef162b1b1a9,cool_stuff,4,13.5,4.0
61,0307f7565ff85b299b6e5ef162b1b1a9,eletroportateis,1,11.0,5.0
62,0307f7565ff85b299b6e5ef162b1b1a9,perfumaria,2,14.5,1.5
63,0336182e1b3e92f029d5354832045fdf,moveis_decoracao,2,41.0,2.0
64,034b9387752bfa309f350a70cd45ffa3,brinquedos,8,14.0,4.5
65,038b75b729c8a9a04b0d07cba7eabe86,utilidades_domesticas,2,0.5,3.5
66,039b29ff3b3473435d0cd59040575de9,dvds_blu_ray,4,7.5,5.0
67,039b29ff3b3473435d0cd59040575de9,musica,5,7.0,5.0
68,039e6ad9dae79614493083e241147386,ferramentas_jardim,5,10.0,5.0
69,03a2a6dcbe45d639c4dc2a0d24769c40,ferramentas_jardim,9,12.0,5.0
70,03bd479e1d9484cdb14104d3023f7321,automotivo,3,3.0,5.0
71,0417b067eeab773d2f7061a726dc477f,automotivo,13,7.0,5.0
72,042573af89b6d931f672efaf789d8358,eletroportateis,2,-9.5,3.0
73,042573af89b6d931f672efaf789d8358,esporte_lazer,1,19.0,5.0
74,04308b1ee57b6625f47df1d56f00eedf,beleza_saude,94,12.0,5.0
75,0432ead42b6c8a0bdf68154add917fdf,brinquedos,86,12.0,5.0
76,0432ead42b6c8a0bdf68154add917fdf,consoles_games,3,12.0,5.0
77,0432ead42b6c8a0bdf68154add917fdf,utilidades_domesticas,1,9.0,1.0
78,044668ccd5316b12a7cf0d54a156e3e9,alimentos,4,20.0,5.0
79,04843805947f0fc584fc1969b6e50fe7,cama_mesa_banho,2,-1.0,5.0
80,048c2757535328e0d7dac690ad3c0aae,fashion_calcados,50,11.0,5.0
81,04aa0a1c5ce6b222003403a3e11c3cc0,automotivo,16,19.0,4.0
82,04aa0a1c5ce6b222003403a3e11c3cc0,esporte_lazer,1,4.0,4.0
83,04aba03279157f6d4e0fe8ccaf21963c,beleza_saude,16,14.5,5.0
84,04e38a233f726ef161074ab1c9b0399a,bebes,5,6.0,5.0
85,04e38a233f726ef161074ab1c9b0399a,esporte_lazer,13,4.0,4.0
86,04e38a233f726ef161074ab1c9b0399a,utilidades_domesticas,10,4.0,4.5
87,04ee0ec01589969663ba5967c0e0bdc0,artes_e_artesanato,1,12.0,5.0
88,04fdea0c111866e6cf812f1570d6b5bd,eletronicos,1,-9.0,2.0
89,04fdea0c111866e6cf812f1570d6b5bd,informatica_acessorios,9,9.0,3.0
90,0509040ea3fe50071181bbc359eb7738,cama_mesa_banho,1,14.0,5.0
